Phase,Batch,Scope,Why This Order,Primary Files/Areas,Done Criteria
C1,Batch 1,Lock token source of truth,"Everything visual depends on this",app/globals.css assets/css/tokens.css assets/css/components.css,"One agreed token system and list of deprecated token/helpers"
C1,Batch 2,Define final shared primitives,"Need one button/card/field/header family before page migration",components/ui/Button.tsx components/ui/Card.tsx components/ui/Input.tsx components/ui/Textarea.tsx components/ui/Select.tsx components/ui/Label.tsx components/ui/PageHeader.tsx components/ui/Badge.tsx,"Shared primitives documented and ready for rollout"
C1,Batch 3,Define list/table system,"Lists are a major part of the app and currently fragmented",new table/list wrappers or shared classes,"Compact table, operational table, and row-card pattern agreed"
C2,Batch 1,Refactor field system,"Highest leverage cross-app fix",components/ui/FormInput.tsx components/ui/Input.tsx components/ui/Textarea.tsx components/ui/Label.tsx,"Accessible labels, consistent error/help/disabled states, token-aligned visuals"
C2,Batch 2,Standardize shell,"Sidebar/topbar/nav style touches every page",app/layout.tsx components/auth/SidebarAuthBox.tsx,"No inline shell styling; nav uses shared styles"
C2,Batch 3,Migrate high-traffic pages to shared header/card/button/field system,"Biggest visible improvement with lowest strategic regret",app/page.tsx app/clients/* app/properties/* app/tasks/* app/subscriptions/*,"High-traffic pages no longer use legacy .btn/.card/page-title patterns"
C3,Batch 1,Billing visual hardening,"Billing is active and fragile; should land after field system exists",app/billing/* components/billing/*,"Billing create/edit/detail/payment/PDF controls share one visual language"
C3,Batch 2,Settings/admin surface migration,"Admin pages must match the system and support future control panel",app/settings/users/page.tsx app/settings/general/page.tsx app/settings/vendors/* app/settings/expense-categories/* app/settings/banking/*,"Settings pages use shared components; duplicate banking file quarantined"
C4,Batch 1,Workers module standardization,"Workers should benefit from the shared form/list/card system",app/workers/* components/workers/WorkerForm.tsx,"Workers module visually and structurally aligned"
C4,Batch 2,Services/packages/configuration migration,"Configuration pages should stop diverging from shared system",app/services/* app/packages/*,"Configuration area moved onto shared primitives"
C5,Batch 1,Auth surface tightening,"Do before production finalization",app/auth/login/page.tsx app/settings/users/page.tsx auth helpers,"Auth/admin surfaces production-safe and visually consistent"
C6,Batch 1,PDF brand pass,"Print output should follow final brand tokens, not invent its own look",billing/subscription pdf routes,"Print branding aligned with on-screen token system"
C7,Batch 1,Appearance control panel,"Only after tokens and shared components exist",future settings appearance page/popup,"Changing colors/styles in one place updates the whole app without page edits"
