Layer,Item,Current File or Area,Decision,Reason,Priority,Notes
components/ui,Button,components/ui/Button.tsx,Keep,"Strong shared primitive already aligned to tokens",Critical,"Should become the only button source"
components/ui,Input,components/ui/Input.tsx,Keep,"Good base input primitive",Critical,"Should become the only base text input source"
components/ui,Textarea,components/ui/Textarea.tsx,Keep,"Good shared base",Critical,"Align exactly with Input"
components/ui,Select,components/ui/Select.tsx,Keep,"Good Radix primitive",High,"Define when Radix vs native select is used"
components/ui,Checkbox,components/ui/Checkbox.tsx,Keep,"Good shared checkbox",Medium,"Needs label pairing pattern"
components/ui,Label,components/ui/Label.tsx,Keep,"Shared label primitive exists",Critical,"Must be used with accessible wiring"
components/ui,Card,components/ui/Card.tsx,Keep,"Best card foundation in repo",Critical,"Should replace legacy .card system"
components/ui,SectionCard,components/ui/SectionCard.tsx,Keep,"Clean section primitive",High,"Use for titled sections"
components/ui,StatCard,components/ui/StatCard.tsx,Keep,"Useful for dashboard/stat surfaces",High,"May need tighter visual rules"
components/ui,Badge,components/ui/Badge.tsx,Keep,"Best shared status/meta primitive",Critical,"Map all status pills to this"
components/ui,Alert,components/ui/Alert.tsx,Keep,"Shared feedback component exists",High,"Use instead of custom error boxes"
components/ui,PageHeader,components/ui/PageHeader.tsx,Keep,"Good shared title/action primitive",Critical,"No layout variants per page/module"
components/ui,DetailField,components/ui/DetailField.tsx,Keep,"Good building block for detail views",High,"Can replace field-label/value helpers"
components/ui,EmptyState,components/ui/EmptyState.tsx,Keep,"Shared empty-state primitive exists",Medium,"Use instead of plain no-data copy"
components/ui,Modal/alert-dialog,components/ui/Modal.tsx + components/ui/alert-dialog.tsx,Fix/Consolidate,"Two dialog patterns plus native confirm coexist",High,"Choose one primary confirmation stack"
components/ui,FormInput,components/ui/FormInput.tsx,Fix or replace,"Lives in ui but uses hardcoded palette and inaccessible label wiring",Critical,"Likely replace with Field wrapper + Input"
components/ui,Field wrapper,Not yet present,Add,"Needed for label + control + help + error as one standard unit",Critical,"Should simplify all forms"
components/ui,StatusBadge,Not yet present,Add or alias Badge,"Need a standard status-mapping layer without custom one-offs",High,"Could wrap Badge rather than duplicate it"
components/ui,Table shell,Not yet present,Add,"Need one shared visual system for compact and operational tables",Critical,"Do not globalize columns/content"
components/ui,List toolbar,Not yet present,Add,"Search/filter/action rows are currently ad hoc",High,"Visual standard only, not workflow logic"
components/ui,Shell nav item/section helpers,Not yet present,Add later,"Shell currently lives in inline layout styles",Medium,"Probably after token + shell cleanup"
feature components,CompanySettingsForm,components/settings/CompanySettingsForm.tsx,Keep but refactor,"Business-specific form should stay outside ui but use standardized field primitives",High,"Important early migration target"
feature components,BankAccountForm,components/banking/BankAccountForm.tsx,Keep but refactor,"Business-specific form should consume ui layer",High,"This is the active banking form"
feature components,Legacy BankAccountForm,app/settings/BankAccountForm.tsx,Quarantine,"Duplicate legacy form should not drive the standard",High,"Do not migrate toward this file"
feature components,TaskForm,components/tasks/TaskForm.tsx,Keep but refactor,"Feature form should consume standardized fields/buttons",Medium,"Later shared form migration"
feature components,InvoiceForm,components/billing/InvoiceForm.tsx,Keep but refactor,"Billing form should consume standardized field/table/button primitives",Critical,"Billing hardening phase"
feature components,CreditNoteForm,components/billing/CreditNoteForm.tsx,Keep but refactor,"Same rationale as InvoiceForm",High,"Billing phase"
feature components,PaymentForm,components/billing/PaymentForm.tsx,Keep but refactor,"Same rationale as InvoiceForm",High,"Billing phase"
feature components,ExpenseForm,components/expenses/ExpenseForm.tsx,Keep but refactor,"Should consume shared field/list primitives",Medium,"After billing and field system"
feature components,ExpenseCategoryForm,components/expenses/ExpenseCategoryForm.tsx,Keep but refactor,"Simple settings form; good early migration candidate",Medium,"Good test case after field wrapper exists"
feature components,VendorForm,components/expenses/VendorForm.tsx,Keep but refactor,"Simple settings form; good early migration candidate",Medium,"Good test case after field wrapper exists"
feature components,WorkerForm,components/workers/WorkerForm.tsx,Keep but refactor,"Workers module tightening phase",Medium,"Later than field system"
feature components,CreateUserForm legacy,components/users/CreateUserForm.tsx,Quarantine,"Older user model path should not become standard",High,"Keep out of final UI plan"
pages/shell,Root layout,app/layout.tsx,Refactor,"Inline shell/nav styling blocks global appearance control",Critical,"High-leverage first page-level file"
pages/high traffic,Dashboard,app/page.tsx,Refactor early,"Very visible and heavily legacy styled",Critical,"Good early beneficiary of Card/Button/StatCard system"
pages/high traffic,Settings users,app/settings/users/page.tsx,Refactor early,"Important admin page still heavily legacy",High,"Good test case for forms + list rows"
pages/high traffic,Clients/Properties/Tasks/Subscriptions,app/*,Refactor in sequence,"Core operational flow should move onto shared system",Critical,"After ui layer is stable"
